COLLEGE,TYPE OF FUNDING,TYPE OF SCHOLARSHIP,NAME OF STUDENT,CYS,PROG,CODE,ID,STUDENTNUM,UNITS,TUITION,LABFEE,MISCFEE,OTHERS,NSTP,"SWIM
FEE","REED
FEE","PRAC
FEE","RECO
FEE","TRANS
FEE
Fee","TOTAL
ASSESSMENT","TOTAL
DISC",
,,,"DELA CRUZ, JUAN",HRD41,STUDENT ASSISTANTSHIP - 100% TUTION AND LABORATORY FEE DISCOUNT,1000,1,202123456,15,25290,1546,6377,7302,0,0,0,0,0,2350,0,42865,26836
,,,"DELA CRUZ, JUAN",ECE51,STUDENT ASSISTANTSHIP - 100% TUTION AND LABORATORY FEE DISCOUNT,1000,2,202123456,28,46760,5334,7046,5397,0,0,0,0,0,0,50,64587,52094
,,,"DELA CRUZ, JUAN",BEE41,STUDENT ASSISTANTSHIP - 100% TUTION AND LABORATORY FEE DISCOUNT,1000,3,202123456,15,15742.5,0,5842,6852,0,0,0,0,4100,2350,0,34886.5,15742.5
,,,"DELA CRUZ, JUAN",BCS31,STUDENT ASSISTANTSHIP - 100% TUTION AND LABORATORY FEE DISCOUNT,1000,4,202123456,27,28620,0,5892,4502,0,0,0,0,1200,1000,50,41764,28620
,,,"DELA CRUZ, JUAN",BSE41,STUDENT ASSISTANTSHIP - 100% TUTION AND LABORATORY FEE DISCOUNT,1000,5,202123456,15,15742.5,0,5842,6852,0,0,0,0,4100,2350,0,34886.5,15742.5
,,,"DELA CRUZ, JUAN",BSA51,STUDENT ASSISTANTSHIP - 100% TUTION AND LABORATORY FEE DISCOUNT,1000,6,202123456,24,39876,0,6227,5177,0,0,0,0,0,0,0,51280,39876
,,,"DELA CRUZ, JUAN",COM33,STUDENT ASSISTANTSHIP - 100% TUTION AND LABORATORY FEE DISCOUNT,1000,7,202123456,21,37191,2851,6423,5152,0,0,0,0,0,1000,25,52642,40042
,,,"DELA CRUZ, JUAN",CEE34,STUDENT ASSISTANTSHIP - 100% TUTION AND LABORATORY FEE DISCOUNT,1000,8,202123456,20,34220,4409.5,7246,4272,0,0,0,0,0,1000,0,51147.5,38629.5
,,,"DELA CRUZ, JUAN",BSE42,STUDENT ASSISTANTSHIP - 100% TUTION AND LABORATORY FEE DISCOUNT,1000,9,202123456,15,15742.5,0,5842,6852,0,0,0,0,4100,2350,0,34886.5,15742.5
,,,"DELA CRUZ, JUAN",DES41,STUDENT ASSISTANTSHIP - 100% TUTION AND LABORATORY FEE DISCOUNT,1000,10,202123456,15,25042.5,0,5850,6452,0,0,0,0,0,2350,0,39694.5,25042.5
,,,"DELA CRUZ, JUAN",HRD32,STUDENT ASSISTANTSHIP - 100% TUTION AND LABORATORY FEE DISCOUNT,1000,11,202123456,30,51060,2850,6427,4952,0,0,0,0,0,1000,0,66289,53910
,,,"DELA CRUZ, JUAN",BPE21,STUDENT ASSISTANTSHIP - 100% TUTION AND LABORATORY FEE DISCOUNT,1000,12,202123456,26,28795.5,400,5892,5452,0,0,0,0,1200,1000,50,43289.5,29195.5
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
